144,883,65
144,3225,45
144,888,67
144,3226,45
538,193,45
538,2090,45
538,3015,45
538,3019,45
174,3366,67
174,3392,45
174,3394,45
494,129,45
495,141,45
143,881,44
185,1332,45
185,1347,62
186,1358,45
191,1391,45
192,1418,50
328,1711,45
316,1763,65
L28,2638,45
494,2653,45
494,3303,45
494,3305,45
329,3368,45
329,3400,45
329,7367,45
76,7513,45
405,24,61
405,28,45
117,635,44
192,1407,65
199,1453,65
300,1659,68
199,1995,45
300,2065,45
117,2779,44
407,52,45
121,644,67
157,1069,45
183,1301,45
300,1667,68
300,2066,45
121,2399,44
14,7471,44
71,7503,45
183,7607,45
127,698,45
127,702,45
127,708,45
127,710,45
D3,1536,44
L27,2657,44
L94,2661,44
127,2668,45
127,2671,45
127,2673,45
127,2675,45
494,121,45
127,695,45
127,701,45
127,705,45
127,709,45
D3,1535,45
494,2652,45
L27,2656,44
L94,2660,44
127,2667,45
127,2670,45
127,2672,45
127,2674,45
494,3302,45
494,3304,45
133,771,45
L1,1554,45
L1,2379,45
133,2986,45
L15,3044,45
133,3046,45
133,3049,45
L15,7448,45
133,7450,45
133,7452,45
133,770,45
L1,1551,45
L1,2352,45
133,2985,45
L15,3043,45
133,3045,45
133,3048,45
L15,7449,45
133,7451,45
133,7453,45
L5,1582,44
427,86,45
456,101,45
524,186,45
538,205,45
582,220,66
124,650,68
125,673,45
125,683,45
126,688,44
456,2089,45
538,2091,45
126,2093,45
133,2095,45
524,2102,45
427,2359,45
133,2984,45
456,2997,45
538,3016,45
538,3020,45
G,3338,65
G,3649,45
M-B,7376,45
191,1402,45
404,2823,45
PA,3147,42
PB,3148,41
427,83,45
456,98,45
495,137,45
524,185,62
582,219,63
124,647,66
125,666,45
126,685,45
456,2088,45
126,2092,45
524,2101,45
427,2358,45
124,2640,45
404,2822,45
133,2983,45
133,2992,45
456,2996,45
G,3337,66
G,3650,45
187,1370,69
188,1382,70
187,2396,44
D2,1757,40
116,630,66
141,833,44
141,840,45
142,852,45
142,863,45
142,865,45
142,873,44
116,2312,44
142,3077,45
142,3079,45
141,3223,44
L14,168,61
128,711,70
128,725,45
135,782,45
157,1059,45
137,811,45
137,819,68
163,1122,66
L35,1577,45
L6,1584,44
L16,2070,44
L19,2080,45
L7,2357,45
L37,2384,44
L63,2386,44
L19,2942,44
L7,3657,45
135,784,45
L35,1575,45
L16,2069,44
L19,2079,45
L19,2941,44
L15,2073,45
L15,2611,45
L15,2074,45
L15,2612,45
G11,3350,45
G11,3349,45
G11,3387,44
G10,3347,45
G10,3386,45
G10,3623,44
G4,3332,44
148,3410,45
148,3412,45
2,7592,45
G4,3331,44
148,3409,45
148,3637,45
148,3640,45
329,7368,45
2,7593,45
409,55,45
G4,3341,43
174,3365,67
329,3367,45
174,3391,45
148,3405,45
148,3407,45
G6,3646,43
148,3651,45
148,3653,45
2,7565,45
L7,2356,45
L7,3658,45
409,58,45
409,3125,45
L3,3647,45
409,3124,45
L3,3648,45
128,726,45
137,796,45
137,815,71
163,1117,67
L6,1583,44
L37,2383,44
L63,2385,44
137,2973,45
137,2981,45
137,3265,45
137,3266,45
163,3267,45
128,720,67
L14,170,60
329,3399,45
2,7589,50
G4,3342,43
148,3362,45
148,3406,45
148,3408,45
2,7566,45
2,7590,64
G6,3645,43
G6,3335,40
G6,3336,40
G3,3343,43
G3,3344,43
L29,3353,45
145,3357,65
147,3359,45
526,3369,67
147,3389,45
174,3393,45
526,7329,45
L29,7331,45
186,1354,45
L23,2082,44
186,3311,45
L23,2081,44
L12,7561,44
L12,7562,44
306,1760,63
L9,2071,42
306,3021,45
306,3087,45
306,3122,45
195,1434,45
L17,2075,43
L26,2083,44
195,3082,45
195,7342,45
17,7478,45
185,1330,45
185,1337,66
370,1737,45
306,1761,63
L18,2077,60
306,3022,45
306,3088,45
306,3123,45
185,3269,45
306,3270,45
306,3271,45
306,3272,45
17,7476,45
17,7487,45
L9,2072,43
L18,2078,57
L26,2084,43
76,7512,45
L4,1580,57
L4,1579,36
195,1428,45
370,1744,45
195,3081,45
195,7343,45
L17,2076,43
L12,7559,42
546,217,67
128,728,45
L24,3352,44
G,3401,45
L29,3644,45
L29,7333,45
D5,3371,45
148,3632,45
148,3633,45
148,3634,45
2,7591,45
145,3635,45
526,3636,45
G8,3345,44
G8,3375,45
G1,7359,42
G6,7366,36
G8,3346,45
D5,3372,44
G,3402,45
G8,3376,45
G1,7358,43
L29,3643,45
L29,7332,45
G6,7365,39
L29,3354,45
145,3358,65
147,3360,45
526,3370,67
147,3390,45
L29,7330,45
195,2999,45
195,3010,45
195,2998,45
195,3009,45
128,733,45
522,183,45
151,3363,67
522,184,45
151,3364,67
522,2425,45
522,2426,45
L24,3351,43
149,982,45
149,1959,45
181,1282,44
182,1299,45
182,3238,45
181,7602,44
546,218,66
181,1274,45
181,3237,45
183,1311,44
D2,1756,87
183,7606,44
181,7603,45
149,968,45
149,981,45
182,1297,45
405,37,62
150,1000,45
150,1007,45
175,1248,68
175,1259,46
L22,1567,44
328,1707,45
396,2025,45
L28,2637,45
396,3262,45
158,1099,45
158,2816,45
L13,1758,44
169,1162,45
169,2400,45
169,2845,45
169,1167,45
L13,1759,44
169,2401,45
169,2846,45
158,1101,45
330,1730,45
330,1736,45
396,2026,45
330,2388,45
158,2817,45
396,3263,45
L22,1569,44
405,48,45
158,1096,45
