CODIGO_PARADA,X,Y,LINEAS,ADYACENTES
546,578023.60011,6140711.3452,144:883:42;144:3225:44,547
547,577944.25345,6140828.51804,144:883:43;144:3225:45,549
548,577926.50589,6140844.77825,144:888:20;144:3226:20,5350
549,577776.31416,6141077.73612,144:883:44;144:3225:46,3777
550,577751.54027,6141103.68466,144:888:19;144:3226:19,548
551,578204.08853,6140505.71004,538:193:68;144:888:22;538:2090:66;538:3015:66;538:3019:68;144:3226:22;174:3366:71;174:3392:70;174:3394:58,3530
553,577245.849700775,6138605.03863943,494:129:92;495:141:88;143:881:16;185:1332:61;185:1347:63;186:1358:65;191:1391:33;192:1418:40;328:1711:52;316:1763:46;L28:2638:50;494:2653:90;494:3303:93;494:3305:91;329:3368:75;329:3400:73;329:7367:88;76:7513:68,554
554,577523.985176998,6138424.31621523,494:129:93;495:141:89;143:881:17;185:1332:62;185:1347:64;186:1358:66;191:1391:34;192:1418:41;328:1711:53;316:1763:47;494:2653:91;494:3303:94;494:3305:92;329:3368:76;329:3400:74;329:7367:89;76:7513:69,3063;3067
555,576277.12516,6135654.507,405:24:6;405:28:6;117:635:16;192:1407:6;199:1453:47;300:1659:10;199:1995:58;300:2065:10;117:2779:28,2120
556,576341.81002,6137571.58296,407:52:46;121:644:22;157:1069:60;183:1301:2;300:1667:55;300:2066:56;121:2399:11;174:3366:84;174:3392:83;174:3394:71;14:7471:22;71:7503:45;183:7607:2,2112
557,559183.80129,6150123.41358,494:129:14;127:698:14;127:702:14;127:708:14;127:710:14;D3:1536:2;494:2653:12;L27:2657:11;L94:2661:12;127:2668:12;127:2671:12;127:2673:12;127:2675:12;494:3303:14;494:3305:12,4913
558,559299.98348,6149927.07058,494:121:90;127:695:72;127:701:73;127:705:69;127:709:70;D3:1535:48;494:2652:90;L27:2656:24;L94:2660:24;127:2667:72;127:2670:69;127:2672:73;127:2674:70;494:3302:91;494:3304:91,5217
559,559113.56459,6150267.67473,494:121:92;127:695:74;127:701:75;127:705:71;127:709:72;D3:1535:50;494:2652:92;L27:2656:26;L94:2660:26;127:2667:74;127:2670:71;127:2672:75;127:2674:72;494:3302:93;494:3304:93,5460
560,560021.75886,6142890.24813,133:771:10;L1:1554:46;L1:2379:61;133:2986:10;L15:3044:10;133:3046:15;133:3049:10;L15:7448:9;133:7450:15;133:7452:10,4706
561,560029.35651,6142892.85969,133:770:88;L1:1551:9;L1:2352:12;133:2985:82;L15:3043:56;133:3045:97;133:3048:103;L15:7449:56;133:7451:103;133:7453:97,638
562,562477.615312079,6148240.3125212,L5:1582:1,5331
563,573564.184551105,6139646.07354838,427:86:51;456:101:49;494:129:71;495:141:67;524:186:35;538:205:63;582:220:36;124:650:30;125:673:44;125:683:42;126:688:30;127:698:72;127:702:73;127:708:72;127:710:73;133:771:74;456:2089:49;538:2091:63;126:2093:52;133:2095:72;524:2102:35;427:2359:51;494:2653:69;127:2668:70;127:2671:70;127:2673:71;127:2675:71;133:2984:72;133:2986:74;456:2997:49;538:3016:65;538:3020:65;133:3046:94;133:3049:89;494:3303:72;494:3305:70;G:3338:46;G:3649:46;M-B:7376:52;133:7450:94;133:7452:89,564
564,573582.359721282,6139449.70577354,427:86:52;456:101:50;494:129:72;495:141:68;524:186:36;538:205:64;582:220:37;124:650:31;125:673:45;125:683:43;126:688:31;127:698:73;127:702:74;127:708:73;127:710:74;133:771:75;191:1402:48;456:2089:50;538:2091:64;126:2093:53;133:2095:73;524:2102:36;427:2359:52;494:2653:70;127:2668:71;127:2671:71;127:2673:72;127:2675:72;133:2984:73;133:2986:75;456:2997:50;538:3016:66;538:3020:66;133:3046:95;133:3049:90;494:3303:73;494:3305:71;G:3338:47;G:3649:47;M-B:7376:53;133:7450:95;133:7452:90,565
565,573597.84237,6139240.79544,427:86:53;456:101:51;494:129:73;495:141:69;524:186:37;538:205:65;582:220:38;124:650:32;125:673:46;125:683:44;126:688:32;127:698:74;127:702:75;127:708:74;127:710:75;133:771:76;191:1402:49;456:2089:51;538:2091:65;126:2093:54;133:2095:74;524:2102:37;427:2359:53;494:2653:71;127:2668:72;127:2671:72;127:2673:73;127:2675:73;404:2823:63;133:2984:74;133:2986:76;456:2997:51;538:3016:67;538:3020:67;133:3046:96;133:3049:91;494:3303:74;494:3305:72;G:3338:48;G:3649:48;M-B:7376:54;133:7450:96;133:7452:91,4578
566,573646.546521291,6138622.18417768,427:86:55;456:101:53;494:129:75;495:141:71;524:186:39;538:205:67;582:220:40;124:650:34;125:673:48;125:683:46;126:688:34;127:698:76;127:702:77;127:708:76;127:710:77;133:771:78;191:1402:51;456:2089:53;538:2091:67;126:2093:56;133:2095:76;524:2102:39;427:2359:55;494:2653:73;127:2668:74;127:2671:74;127:2673:75;127:2675:75;404:2823:65;133:2984:76;133:2986:78;456:2997:53;538:3016:69;538:3020:69;133:3046:98;133:3049:93;PA:3147:11;PB:3148:6;494:3303:76;494:3305:74;G:3338:50;G:3649:50;M-B:7376:56;133:7450:98;133:7452:93,3663;3924
567,573747.2546,6138746.39352,427:83:64;456:98:14;494:121:31;495:137:31;524:185:20;538:193:15;582:219:31;124:647:20;125:666:20;126:685:17;127:695:14;127:701:14;127:705:11;127:709:11;133:770:20;191:1391:10;456:2088:12;538:2090:13;126:2092:17;524:2101:10;427:2358:51;124:2640:20;494:2652:31;127:2667:14;127:2670:11;127:2672:14;127:2674:11;404:2822:1;133:2983:14;133:2985:14;133:2992:14;456:2996:21;538:3015:13;538:3019:15;133:3045:14;133:3048:20;494:3302:31;494:3304:31;G:3337:20;G:3650:11;133:7451:20;133:7453:14,568
568,573721.28552,6139095.94276,427:83:65;456:98:15;494:121:32;495:137:32;524:185:21;538:193:16;582:219:32;124:647:21;125:666:21;126:685:18;127:695:15;127:701:15;127:705:12;127:709:12;133:770:21;187:1370:42;188:1382:41;191:1391:11;456:2088:13;538:2090:14;126:2092:18;524:2101:11;427:2358:52;187:2396:30;124:2640:21;494:2652:32;127:2667:15;127:2670:12;127:2672:15;127:2674:12;404:2822:2;133:2983:15;133:2985:15;133:2992:15;456:2996:22;538:3015:14;538:3019:16;133:3045:15;133:3048:21;494:3302:32;494:3304:32;G:3337:21;G:3650:12;133:7451:21;133:7453:15,569;4416
569,573705.46023,6139299.62682,427:83:66;456:98:16;494:121:33;495:137:33;524:185:22;538:193:17;582:219:33;124:647:22;125:666:22;126:685:19;127:695:16;127:701:16;127:705:13;127:709:13;133:770:22;191:1391:12;456:2088:14;538:2090:15;126:2092:19;524:2101:12;427:2358:53;124:2640:22;494:2652:33;127:2667:16;127:2670:13;127:2672:16;127:2674:13;404:2822:3;133:2983:16;133:2985:16;133:2992:16;456:2996:23;538:3015:15;538:3019:17;133:3045:16;133:3048:22;494:3302:33;494:3304:33;G:3337:22;G:3650:13;133:7451:22;133:7453:16,3728;4408
570,573689.1141,6138092.41239,427:86:57;456:101:55;494:129:77;495:141:73;524:186:41;538:205:69;582:220:42;124:650:36;125:673:50;125:683:48;126:688:36;127:698:78;127:702:79;127:708:78;127:710:79;133:771:80;191:1402:53;456:2089:55;538:2091:69;126:2093:58;133:2095:78;524:2102:41;427:2359:57;494:2653:75;127:2668:76;127:2671:76;127:2673:77;127:2675:77;133:2984:78;133:2986:80;456:2997:55;538:3016:71;538:3020:71;133:3046:100;133:3049:95;494:3303:78;494:3305:76;G:3338:52;G:3649:52;M-B:7376:58;133:7450:100;133:7452:95,3925
572,573410.429202857,6137807.44048272,D3:1536:38;D2:1757:7;PB:3148:5,566;573
573,573127.69328,6137379.15796,143:881:1;D3:1536:39;D2:1757:8;456:2088:3;538:2090:3;538:3015:3,574;4021;4827
574,573243.7184472,6136933.2067228,538:193:6;116:630:12;117:635:1;121:644:12;141:833:1;141:840:6;142:852:6;142:863:3;142:865:6;142:873:3;144:883:1;538:2090:4;116:2312:2;121:2399:1;117:2779:13;538:3015:4;538:3019:6;142:3077:6;142:3079:3;141:3223:3;144:3225:3,575;576
575,573543.22371777,6136954.52949951,538:193:7;141:833:2;141:840:7;142:852:7;142:863:4;142:865:7;142:873:4;144:883:2;538:2090:5;538:3015:5;538:3019:7;142:3077:7;142:3079:4;141:3223:4;144:3225:4,577;4576
576,573653.39523,6136960.1801,116:630:13;117:635:2;121:644:13;116:2312:3;121:2399:2;117:2779:14,578
577,573860.221027846,6136981.19282466,427:86:62;141:833:3;141:840:8;142:852:8;142:863:5;142:865:8;142:873:5;144:883:3;427:2359:62;142:3077:8;142:3079:5;141:3223:5;144:3225:5,579
578,573961.404928403,6136989.62481637,582:220:47;116:630:14;117:635:3;121:644:14;116:2312:4;121:2399:3;117:2779:15,579
579,574168.845642509,6137007.76423028,427:86:63;582:220:48;116:630:15;117:635:4;121:644:15;141:833:4;141:840:9;142:852:9;142:863:6;142:865:9;142:873:6;144:883:4;116:2312:5;427:2359:63;121:2399:4;117:2779:16;142:3077:9;142:3079:6;141:3223:6;144:3225:6,3915;4204
582,566538.88974236,6144895.00266503,L14:168:22;128:711:61;128:725:61;135:782:51;157:1059:68,583;4135
583,566337.036002189,6144694.5556182,128:725:62;135:782:52;137:811:3;137:819:3;163:1122:3;L1:1554:3;L35:1577:3;L6:1584:3;L16:2070:3;L19:2080:3;L7:2357:41;L1:2379:3;L37:2384:3;L63:2386:3;L19:2942:3;L7:3657:41,585;851
584,566278.17128,6144609.79065,495:141:31;135:784:47;L1:1551:54;L35:1575:48;L16:2069:30;L19:2079:46;L1:2352:71;L19:2941:28,4135;4613
585,565833.76139,6144166.65889,495:137:71;135:782:53;L1:1554:4;L35:1577:4;L16:2070:4;L19:2080:4;L1:2379:4;L19:2942:4,587
586,565838.50562,6144158.47673,495:141:30;135:784:46;L1:1551:52;L35:1575:46;L16:2069:29;L19:2079:45;L1:2352:69;L19:2941:27,584;5411
587,565627.96801,6143954.34639,495:137:72;135:782:54;L1:1554:5;L35:1577:5;L16:2070:5;L19:2080:5;L1:2379:5;L19:2942:5,589
588,565627.11934,6143947.49829,495:141:29;135:784:45;L1:1551:51;L35:1575:45;L16:2069:28;L19:2079:44;L1:2352:68;L19:2941:26,586
589,565452.42793,6143775.23512,495:137:73;135:782:55;L1:1554:6;L35:1577:6;L16:2070:6;L19:2080:6;L1:2379:6;L19:2942:6,591
590,565444.83391,6143758.19793,495:141:28;135:784:44;L1:1551:50;L35:1575:44;L16:2069:27;L19:2079:43;L1:2352:67;L19:2941:25,588
591,565280.03525,6143594.24833,495:137:74;135:782:56;L1:1554:7;L35:1577:7;L16:2070:7;L19:2080:7;L1:2379:7;L19:2942:7,595;712;5040
592,565229.682325044,6143527.27600987,495:141:27;135:784:43;L35:1575:43;L16:2069:26;L19:2079:42;L19:2941:24,590
595,564799.54297,6143856.97496,L1:1554:8;L1:2379:8,598
596,564793.49151,6143856.6848,L1:1551:48;L1:2352:65,5093
598,564175.989321296,6144246.02358407,L1:1554:9;L1:2379:9,600
599,564191.87359,6144222.31451,L1:1551:47;L1:2352:64,596
600,563920.49193,6144389.18979,L1:1554:10;L1:2379:10,5412
601,563462.45839,6144660.99275,L1:1554:12;L1:2379:12,4668
602,563457.43378,6144657.85165,L1:1551:44;L1:2352:61,6138
603,562888.23932,6144999.38277,L1:1554:14;L1:2379:14,605
604,562873.89967,6145004.22647,L1:1551:42;L1:2352:59,4669
605,562703.83518,6145118.05,L1:1554:15;L1:2379:15,609
606,562683.40377,6145126.04289,L1:1551:41;L1:2352:58,604
609,562253.207095621,6145408.33820857,L1:1554:16;L1:2379:16,4168
610,560757.4952,6146336.43401,L1:1551:34;L1:2352:37,4670
613,559728.491720635,6146919.79119603,L1:1551:32;L1:2352:35,3899
614,559244.696181868,6146131.05913767,L1:1551:30;L1:2352:33,5410
615,559094.016736479,6145888.79022548,L1:1551:29;L1:2352:32,614
616,558932.827345681,6145663.49418962,L1:1554:28;L1:2379:43,620
617,558912.357862112,6145605.65381404,135:784:19;L1:1551:28;L35:1575:19;L1:2352:31,615;690
620,558620.9027,6145149.21655,135:782:80;L1:1554:29;L35:1577:32;L1:2379:44,5067;5666
621,558611.95959,6145131.33547,L1:1551:27;L1:2352:30,617
623,558288.8187,6144605.7021,L1:1551:26;L1:2352:29,621
625,557654.176626788,6143581.86690752,133:770:96;L1:1551:17;L1:1554:33;L1:2352:20;L1:2379:48;133:2985:90;133:3046:2;133:3048:111;L15:7449:64;133:7450:2;133:7453:105,626
626,557407.686642,6143180.719132,133:770:97;L1:1551:18;L1:1554:34;L1:2352:21;L1:2379:49;133:2985:91;133:3046:3;133:3048:112;L15:7449:65;133:7450:3;133:7453:106,629
627,557232.096768,6142892.5658,133:770:99;L1:1551:20;L1:1554:36;L1:2352:23;L1:2379:51;133:2985:93;133:3046:5;133:3048:114;133:7450:5;133:7453:108,628
628,557135.115291434,6142741.64481147,133:770:100;L1:1551:21;L1:1554:37;L1:2352:24;L1:2379:52;133:2985:94;133:3046:6;133:3048:115;L15:7449:67;133:7450:6;133:7453:109,5692;5694
629,557300.344784,6143007.058998,133:770:98;L1:1551:19;L1:1554:35;L1:2352:22;L1:2379:50;133:2985:92;133:3046:4;133:3048:113;L15:7449:66;133:7450:4;133:7453:107,627;628
630,558389.16298,6143900.92761,133:770:93;L1:1551:14;L1:2352:17;133:2985:87;L15:3043:61;133:3045:102;133:3048:108;L15:7449:61;133:7451:108;133:7453:102,5406
631,558732.07982,6143686.59541,133:771:6;L1:1554:42;L1:2379:57;133:2986:6;L15:3044:6;133:3046:11;133:3049:6;L15:7448:5;133:7450:11;133:7452:6,633
632,558751.39574,6143678.11555,133:770:92;L1:1551:13;L1:2352:16;133:2985:86;L15:3043:60;133:3045:101;133:3048:107;L15:7449:60;133:7451:107;133:7453:101,630
633,558998.846995548,6143512.28690003,133:771:7;L1:1554:43;L1:2379:58;133:2986:7;L15:3044:7;133:3046:12;133:3049:7;L15:7448:6;133:7450:12;133:7452:7,635
634,559021.60105,6143511.01565,133:770:91;L1:1551:12;L1:2352:15;133:2985:85;L15:3043:59;133:3045:100;133:3048:106;L15:7449:59;133:7451:106;133:7453:100,632
635,559329.34043,6143317.56143,133:771:8;L1:1554:44;L1:2379:59;133:2986:8;L15:3044:8;133:3046:13;133:3049:8;L15:7448:7;133:7450:13;133:7452:8,637
636,559338.6964,6143314.87445,133:770:90;L1:1551:11;L1:2352:14;133:2985:84;L15:3043:58;133:3045:99;133:3048:105;L15:7449:58;133:7451:105;133:7453:99,634
637,559587.17039,6143157.4314,133:771:9;L1:1554:45;L1:2379:60;133:2986:9;L15:3044:9;133:3046:14;133:3049:9;L15:7448:8;133:7450:14;133:7452:9,560
638,559598.59124,6143153.49102,133:770:89;L1:1551:10;L1:2352:13;133:2985:83;L15:3043:57;133:3045:98;133:3048:104;L15:7449:57;133:7451:104;133:7453:98,636
639,561190.392706512,6142157.24232677,495:137:90;133:770:85;L16:2070:23;L15:2073:38;L19:2080:25;L15:2611:40;133:2983:79;133:2985:79;133:2992:81;L15:3043:38;133:3045:79;133:3048:85;L15:7449:38;133:7451:85;133:7453:79,642;4705
640,561160.08425,6142140.28567,495:141:10;L1:1551:6;L16:2069:9;L15:2074:10;L19:2079:23;133:2095:10;L1:2352:9;L15:2612:10;133:2984:10;L15:3043:53;L15:3044:27;133:3045:94;133:3046:32;133:3048:100;133:3049:27;L15:7448:26;L15:7449:53;133:7450:32;133:7451:100;133:7452:27;133:7453:94,653;4705
641,561123.463382519,6142180.24761145,133:771:12;L1:1554:48;L1:2379:63;133:2986:12;L15:3044:12;133:3046:17;133:3049:12;L15:7448:11;133:7450:17;133:7452:12,642;653
642,560979.689958938,6141940.00486374,495:137:91;L1:1554:49;L16:2070:24;L15:2073:39;L19:2080:26;L1:2379:64;L15:2611:41;133:2983:80;133:2992:82;L15:3043:39;L15:3044:13;133:3045:80;133:3046:18;133:3048:86;133:3049:13;L15:7448:12;L15:7449:39;133:7450:18;133:7451:86;133:7452:13;133:7453:80,644
643,560965.192835351,6141884.51587346,495:141:9;L1:1551:5;L16:2069:8;L15:2074:9;L19:2079:22;133:2095:9;L1:2352:8;L15:2612:9;133:2984:9;L15:3043:52;L15:3044:26;133:3045:93;133:3046:31;133:3048:99;133:3049:26;L15:7448:25;L15:7449:52;133:7450:31;133:7451:99;133:7452:26;133:7453:93,640
644,560797.226162072,6141638.81462371,495:137:92;L1:1554:50;L16:2070:25;L15:2073:40;L19:2080:27;L1:2379:65;L15:2611:42;133:2983:81;133:2992:83;L15:3043:40;L15:3044:14;133:3045:81;133:3046:19;133:3048:87;133:3049:14;L15:7448:13;L15:7449:40;133:7450:19;133:7451:87;133:7452:14;133:7453:81,646
645,560816.472343385,6141628.56665703,495:141:8;L1:1551:4;L16:2069:7;L15:2074:8;L19:2079:21;133:2095:8;L1:2352:7;L15:2612:8;133:2984:8;L15:3043:51;L15:3044:25;133:3045:92;133:3046:30;133:3048:98;133:3049:25;L15:7448:24;L15:7449:51;133:7450:30;133:7451:98;133:7452:25;133:7453:92,643
646,560731.239254713,6141539.33436185,495:137:93;L1:1554:51;L16:2070:26;L15:2073:41;L19:2080:28;L1:2379:66;L15:2611:43;133:2983:82;133:2992:84;L15:3043:41;L15:3044:15;133:3045:82;133:3046:20;133:3048:88;133:3049:15;L15:7448:14;L15:7449:41;133:7450:20;133:7451:88;133:7452:15;133:7453:82,647;651
647,560847.252399212,6141390.87165179,495:137:94;495:141:4;L16:2069:3;L16:2070:27;L15:2073:42;L15:2074:4;L19:2080:29;133:2095:4;L1:2352:4;L1:2379:67;L15:2611:44;L15:2612:4;L19:2941:4;133:2983:83;133:2984:4;133:2992:85;L15:3043:42;L15:3044:21;133:3045:83;133:3046:26;133:3048:89;133:3049:21;L15:7448:20;L15:7449:42;133:7450:26;133:7451:89;133:7452:21;133:7453:83,648
648,561141.93889,6141203.66601,495:137:95;495:141:5;L16:2069:4;L16:2070:28;L15:2073:43;L15:2074:5;L19:2080:30;133:2095:5;L1:2352:5;L1:2379:68;L15:2611:45;L15:2612:5;L19:2941:5;133:2983:84;133:2984:5;133:2992:86;L15:3043:43;L15:3044:22;133:3045:84;133:3046:27;133:3048:90;133:3049:22;L15:7448:21;L15:7449:43;133:7450:27;133:7451:90;133:7452:22;133:7453:84,649;6151
649,561007.21529,6141354.80119,495:137:96;495:141:6;L16:2069:5;L16:2070:29;L15:2073:44;L15:2074:6;L19:2079:19;133:2095:6;L1:2352:6;L1:2379:69;L15:2611:46;L15:2612:6;L19:2942:26;133:2983:85;133:2984:6;133:2992:87;L15:3043:44;L15:3044:23;133:3045:85;133:3046:28;133:3048:91;133:3049:23;L15:7448:22;L15:7449:44;133:7450:28;133:7451:91;133:7452:23;133:7453:85,645;650;651
650,560747.435714772,6141479.30393919,495:137:97;495:141:7;L16:2069:6;L16:2070:30;L15:2073:45;L15:2074:7;L19:2079:20;133:2095:7;L15:2611:47;L15:2612:7;L19:2942:27;133:2983:86;133:2984:7;133:2992:88;L15:3043:45;L15:3044:24;133:3045:86;133:3046:29;133:3048:92;133:3049:24;L15:7448:23;L15:7449:45;133:7450:29;133:7451:92;133:7452:24;133:7453:86,645;651
651,560615.012315613,6141373.36729183,495:137:98;L1:1554:52;L16:2070:31;L15:2073:46;L1:2379:70;L15:2611:48;L19:2942:28;133:2983:87;133:2992:89;L15:3043:46;L15:3044:16;133:3045:87;133:3046:21;133:3048:93;133:3049:16;L15:7448:15;L15:7449:46;133:7450:21;133:7451:93;133:7452:16;133:7453:87,5035
652,560580.269209087,6141283.38514543,495:141:2;L1:1551:2;L16:2069:2;L15:2074:2;133:2095:2;L1:2352:2;L15:2612:2;L19:2941:2;133:2984:2;L15:3043:49;L15:3044:19;133:3045:90;133:3046:24;133:3048:96;133:3049:19;L15:7448:18;L15:7449:49;133:7450:24;133:7451:96;133:7452:19;133:7453:90,647;5085
