CODIGO_PARADA,X,Y,LINEAS,ADYACENTES,CERCANOS,CERCANOS AL ORIGEN
546,578023.60011,6140711.3452,144:883:42;144:3225:44,547,548;550;551;3192;3223;3224;3491;3492;3493;3498;3499;3500;3501;3529;3530;3568;3569;4464;5350,548;550;551;3030;3090;3091;3092;3093;3094;3095;3125;3126;3127;3128;3129;3130;3153;3154;3155;3156;3157;3170;3171;3172;3173;3189;3190;3191;3192;3193;3194;3195;3196;3197;3198;3199;3217;3218;3219;3220;3221;3222;3223;3224;3225;3226;3227;3228;3484;3485;3490;3491;3492;3493;3494;3496;3497;3498;3499;3500;3501;3502;3503;3521;3522;3523;3525;3527;3528;3529;3530;3531;3532;3565;3566;3567;3568;3569;3570;3571;3572;3573;3769;3770;3771;3776;4239;4345;4464;4865;5224;5226;5350;5663;5704
547,577944.25345,6140828.51804,144:883:43;144:3225:45,549,548;550;551;3155;3171;3172;3491;3492;3498;3499;3500;3501;3567;3568;3569;5350,548;550;551;3030;3091;3092;3093;3094;3095;3096;3125;3126;3127;3128;3129;3153;3154;3155;3156;3157;3169;3170;3171;3172;3173;3189;3190;3191;3192;3193;3194;3195;3196;3197;3198;3218;3219;3220;3221;3222;3223;3224;3225;3226;3227;3228;3471;3484;3485;3490;3491;3492;3493;3494;3496;3497;3498;3499;3500;3501;3502;3503;3521;3522;3523;3527;3528;3529;3530;3531;3532;3564;3565;3566;3567;3568;3569;3570;3571;3572;3573;3767;3768;3769;3770;3771;3775;3776;4239;4345;4464;4865;5226;5323;5350;5663;5704
548,577926.50589,6140844.77825,144:888:20;144:3226:20,5350,546;547;549;3155;3171;3172;3491;3492;3498;3499;3500;3501;3567;3568;3569;4402,546;547;549;2622;2632;3029;3091;3092;3093;3094;3095;3096;3125;3126;3127;3128;3129;3153;3154;3155;3156;3157;3169;3170;3171;3172;3173;3189;3190;3191;3192;3193;3194;3195;3196;3197;3198;3218;3219;3220;3221;3222;3223;3224;3225;3226;3227;3228;3471;3484;3485;3490;3491;3492;3493;3494;3496;3497;3498;3499;3500;3501;3502;3503;3521;3522;3523;3524;3527;3528;3529;3531;3532;3564;3565;3566;3567;3568;3569;3570;3571;3572;3573;3771;3775;3776;3777;3778;3779;4239;4345;4402;4464;4865;5226;5323;5663;5704
549,577776.31416,6141077.73612,144:883:44;144:3225:46,3777,548;550;3155;3156;3170;3171;3172;3565;3566;3567;3568;3572;3770;5350,548;550;551;2622;2623;2631;2632;3092;3093;3094;3095;3096;3124;3125;3126;3127;3128;3154;3155;3156;3157;3168;3169;3170;3171;3172;3173;3189;3190;3191;3192;3193;3194;3221;3222;3223;3224;3225;3226;3471;3472;3484;3485;3490;3491;3492;3493;3494;3496;3497;3498;3499;3500;3501;3502;3527;3529;3530;3562;3563;3564;3565;3566;3567;3568;3569;3570;3571;3572;3573;3575;3576;3767;3768;3769;3770;3771;3772;3774;3775;3776;4290;4345;4464;4987;5323;5350;6023
550,577751.54027,6141103.68466,144:888:19;144:3226:19,548,546;547;549;3155;3156;3157;3170;3171;3565;3566;3567;3568;3777,546;547;549;2622;2623;2630;2631;2632;3092;3093;3094;3095;3096;3124;3125;3126;3127;3128;3154;3155;3156;3157;3168;3169;3170;3171;3172;3173;3190;3191;3192;3193;3222;3223;3224;3225;3226;3471;3472;3484;3485;3490;3491;3492;3493;3494;3496;3497;3498;3499;3500;3501;3502;3524;3529;3562;3563;3564;3565;3566;3567;3568;3569;3570;3571;3572;3573;3575;3576;3580;3771;3772;3774;3775;3776;3777;3778;3779;3780;4290;4345;4402;4464;4987;5323;6023
551,578204.08853,6140505.71004,538:193:68;144:888:22;538:2090:66;538:3015:66;538:3019:68;144:3226:22;174:3366:71;174:3392:70;174:3394:58,3530,546;547;3029;3189;3190;3191;3192;3193;3194;3195;3196;3220;3221;3222;3223;3224;3225;3490;3491;3492;3493;3494;3498;3500;3501;3522;3523;3524;3527;3529;3531;3570;4239;4402;4464,546;547;549;2549;2827;3028;3029;3089;3090;3091;3092;3093;3094;3126;3127;3128;3129;3130;3131;3153;3154;3155;3171;3172;3173;3189;3190;3191;3192;3193;3194;3195;3196;3197;3198;3199;3200;3201;3217;3218;3219;3220;3221;3222;3223;3224;3225;3484;3485;3486;3490;3491;3492;3493;3494;3496;3497;3498;3500;3501;3502;3503;3521;3522;3523;3524;3525;3526;3527;3528;3529;3531;3532;3570;3571;3572;4239;4345;4402;4464;4865;5224;5226;5663;5704
553,577245.849700775,6138605.03863943,494:129:92;495:141:88;143:881:16;185:1332:61;185:1347:63;186:1358:65;191:1391:33;192:1418:40;328:1711:52;316:1763:46;L28:2638:50;494:2653:90;494:3303:93;494:3305:91;329:3368:75;329:3400:73;329:7367:88;76:7513:68,554,2123;2124;2189;2190;2191;3147;3148;3149;3150;3793;3794;3886,2071;2072;2107;2108;2123;2124;2126;2188;2189;2190;2191;2192;3059;3060;3061;3062;3145;3146;3147;3148;3149;3150;3151;3182;3231;3232;3233;3234;3241;3441;3444;3445;3461;3463;3469;3470;3793;3794;3862;3886;4207;4516;4517;4729;4866;4874;5643;5693;6014;6017;6060
554,577523.985176998,6138424.31621523,494:129:93;495:141:89;143:881:17;185:1332:62;185:1347:64;186:1358:66;191:1391:34;192:1418:41;328:1711:53;316:1763:47;494:2653:91;494:3303:94;494:3305:92;329:3368:76;329:3400:74;329:7367:89;76:7513:69,3063;3067,2123;2124;2189;2190;3062;3146;3147;3148;3149;3886,2123;2124;2126;2187;2188;2189;2190;2191;2192;3059;3060;3061;3062;3142;3143;3145;3146;3147;3148;3149;3150;3182;3233;3241;3430;3439;3440;3441;3442;3443;3444;3461;3463;3464;3468;3469;3470;3793;3794;3861;3862;3870;3886;4094;4207;4516;4517;4729;5643;6060
555,576277.12516,6135654.507,405:24:6;405:28:6;117:635:16;192:1407:6;199:1453:47;300:1659:10;199:1995:58;300:2065:10;117:2779:28,2120,2057;2058;2062;2063;2114;2115;2116;3368;6057,2056;2057;2058;2061;2062;2063;2114;2115;2116;2117;3366;3367;3368;3378;3379;3937;3938;3939;3944;3945;3946;3961;3962;3963;3964;3965;3966;3987;4081;4082;4084;4252;4367;4465;4850;4855;4986;5403;6057;6183;6184;6203
556,576341.81002,6137571.58296,407:52:46;121:644:22;157:1069:60;183:1301:2;300:1667:55;300:2066:56;121:2399:11;174:3366:84;174:3392:83;174:3394:71;14:7471:22;71:7503:45;183:7607:2,2112,2069;2070;2109;2969;3054;3055;3056;3181;4003;4006;4908;5696,2067;2068;2069;2070;2071;2109;2121;2193;2194;2195;2196;2213;2214;2215;2220;2969;2970;3052;3053;3054;3055;3056;3057;3058;3059;3060;3065;3066;3181;3810;3812;3855;3856;3861;3862;3863;3864;3865;3866;3868;3890;3940;3941;3942;3943;3963;3965;3972;3973;3974;4002;4003;4004;4006;4009;4010;4011;4086;4087;4439;4494;4720;4866;4874;4908;5693;5696;6014;6017
