individuo,prestadorIndividuo,centro,prestadorCentro,tipoTransporte,dia,hora,tiempoViaje,llegaGeografico,cantidadPediatras,llega
1,7,101,1,AUTO,Lunes,600,19,Si,0,No
1,7,101,1,AUTO,Lunes,700,19,Si,0,No
1,7,101,1,AUTO,Lunes,800,19,Si,1,No
1,7,101,1,AUTO,Lunes,900,19,Si,1,No
1,7,101,1,AUTO,Lunes,1000,19,Si,2,No
1,7,101,1,AUTO,Lunes,1100,19,Si,2,No
1,7,101,1,AUTO,Lunes,1200,19,Si,1,No
1,7,101,1,AUTO,Lunes,1300,19,Si,1,No
1,7,101,1,AUTO,Lunes,1400,19,Si,1,No
1,7,101,1,AUTO,Lunes,1500,19,Si,1,No
1,7,101,1,AUTO,Lunes,1600,19,Si,0,No
1,7,101,1,AUTO,Lunes,1700,-1,No,0,No
1,7,101,1,AUTO,Lunes,1800,-1,No,0,No
1,7,101,1,AUTO,Lunes,1900,-1,No,0,No
1,7,101,1,AUTO,Lunes,2000,-1,No,0,No
1,7,101,1,AUTO,Lunes,2100,23,Si,0,No
1,7,101,1,AUTO,Martes,600,19,Si,0,No
1,7,101,1,AUTO,Martes,700,19,Si,1,No
1,7,101,1,AUTO,Martes,800,19,Si,3,No
1,7,101,1,AUTO,Martes,900,19,Si,3,No
1,7,101,1,AUTO,Martes,1000,19,Si,4,No
1,7,101,1,AUTO,Martes,1100,19,Si,3,No
1,7,101,1,AUTO,Martes,1200,19,Si,2,No
1,7,101,1,AUTO,Martes,1300,19,Si,2,No
1,7,101,1,AUTO,Martes,1400,19,Si,2,No
1,7,101,1,AUTO,Martes,1500,19,Si,2,No
1,7,101,1,AUTO,Martes,1600,19,Si,0,No
1,7,101,1,AUTO,Martes,1700,-1,No,0,No
1,7,101,1,AUTO,Martes,1800,-1,No,0,No
1,7,101,1,AUTO,Martes,1900,-1,No,0,No
1,7,101,1,AUTO,Martes,2000,-1,No,0,No
1,7,101,1,AUTO,Martes,2100,23,Si,0,No
1,7,101,1,AUTO,Miercoles,600,19,Si,0,No
1,7,101,1,AUTO,Miercoles,700,19,Si,1,No
1,7,101,1,AUTO,Miercoles,800,19,Si,3,No
1,7,101,1,AUTO,Miercoles,900,19,Si,3,No
1,7,101,1,AUTO,Miercoles,1000,19,Si,3,No
1,7,101,1,AUTO,Miercoles,1100,19,Si,3,No
1,7,101,1,AUTO,Miercoles,1200,19,Si,2,No
1,7,101,1,AUTO,Miercoles,1300,19,Si,2,No
1,7,101,1,AUTO,Miercoles,1400,19,Si,2,No
1,7,101,1,AUTO,Miercoles,1500,19,Si,2,No
1,7,101,1,AUTO,Miercoles,1600,19,Si,2,No
1,7,101,1,AUTO,Miercoles,1700,-1,No,0,No
1,7,101,1,AUTO,Miercoles,1800,-1,No,0,No
1,7,101,1,AUTO,Miercoles,1900,-1,No,0,No
1,7,101,1,AUTO,Miercoles,2000,-1,No,0,No
1,7,101,1,AUTO,Miercoles,2100,23,Si,0,No
1,7,101,1,AUTO,Jueves,600,19,Si,0,No
1,7,101,1,AUTO,Jueves,700,19,Si,0,No
1,7,101,1,AUTO,Jueves,800,19,Si,4,No
1,7,101,1,AUTO,Jueves,900,19,Si,4,No
1,7,101,1,AUTO,Jueves,1000,19,Si,4,No
1,7,101,1,AUTO,Jueves,1100,19,Si,4,No
1,7,101,1,AUTO,Jueves,1200,19,Si,2,No
1,7,101,1,AUTO,Jueves,1300,19,Si,2,No
1,7,101,1,AUTO,Jueves,1400,19,Si,1,No
1,7,101,1,AUTO,Jueves,1500,19,Si,1,No
1,7,101,1,AUTO,Jueves,1600,19,Si,0,No
1,7,101,1,AUTO,Jueves,1700,-1,No,0,No
1,7,101,1,AUTO,Jueves,1800,-1,No,0,No
1,7,101,1,AUTO,Jueves,1900,-1,No,0,No
1,7,101,1,AUTO,Jueves,2000,-1,No,0,No
1,7,101,1,AUTO,Jueves,2100,23,Si,0,No
1,7,101,1,AUTO,Viernes,600,19,Si,0,No
1,7,101,1,AUTO,Viernes,700,19,Si,0,No
1,7,101,1,AUTO,Viernes,800,19,Si,2,No
1,7,101,1,AUTO,Viernes,900,19,Si,2,No
1,7,101,1,AUTO,Viernes,1000,19,Si,2,No
1,7,101,1,AUTO,Viernes,1100,19,Si,2,No
1,7,101,1,AUTO,Viernes,1200,19,Si,0,No
