CODIGO_PARADA,X,Y,LINEAS,ADYACENTES
575,573543.22371777,6136954.52949951,144:883:2;538:193:7;538:2090:5;141:833:2;141:840:7;142:852:7;142:863:4;142:865:7;142:873:4,577;3175;3176;5033;574;4576;4579;4024;4021;4022;576;578;3177;4189;4615;4909;2205;5109;4549;4023;4827;3846;4600;4577;4757;2207;2208;3243;2219;6173;3876;2206;4001;4019;4200;4017;3914;3913;4018;5129;4332;4599;4622;4621
577,573860.221027846,6136981.19282466,144:883:3;427:86:62;427:2359:62;141:833:3;141:840:8;142:852:8;142:863:5;142:865:8;142:873:5,575;579;3174;3175;3176;4576;4579;4024;4551;4022;576;578;4372;3177;4189;3179;4615;2203;2205;4023;3846;4600;3926;4577;4036;2208;2209;2210;4056;5734;3874;3875;2219;6173;4375;4373;4624;4051;4261;4552;4025;2204;2206;4001;4200;3178;4201;4017;4016;3913;4018;5129;4332;4599;4622;4621
579,574168.845642509,6137007.76423028,144:883:4;117:635:4;117:2779:16;121:644:15;121:2399:4;427:86:63;582:220:48;427:2359:63;116:630:15;141:833:4;141:840:9;142:852:9;142:863:6;142:865:9;142:873:6,577;3915;4824;4611;3174;3175;4576;4579;4024;4551;4548;578;3840;4372;4189;3179;2201;2203;2205;3926;4577;4035;2209;2210;2211;5734;4046;3874;3875;2219;4375;4373;4376;4624;4051;4261;4993;4552;4043;4025;2202;2204;2206;4200;3178;4244;4015;4201;4017;4016;3913
3915,574557.121313262,6137101.22430856,144:883:5;427:86:64;582:220:49;427:2359:64;116:630:16;141:833:5;141:840:10;142:852:10;142:863:7;142:865:10;142:873:7,579;3916;3857;4437;4824;4611;3174;4551;4548;4026;4028;4204;4372;3179;2199;2201;2203;3872;2217;4562;4557;4528;4532;4530;2211;2212;4558;4559;4090;3871;4033;4034;4046;2218;3874;4375;4373;4376;4624;4051;4261;4043;4550;4027;2200;2202;3178;4244;4203;3912;4015;4201;4014;4016
3916,574739.0685,6137077.44338,144:883:6;427:86:65;582:220:50;427:2359:65;116:630:17;141:833:6;141:840:11;142:852:11;142:863:8;142:865:11;142:873:8;D1:1529:13,3915;3857;4438;4437;4824;4611;4548;4026;4028;4204;4202;2199;2201;3872;3917;2217;4562;4557;4528;4532;4530;4529;2211;2212;4558;4559;3871;4033;4034;5530;2218;3874;4375;4373;4550;4027;2198;2200;2202;4244;4203;3912;4015;4014;4016
3857,575026.557936461,6137156.97381856,144:883:7;427:86:66;427:2359:66;141:833:7;141:840:12;142:852:12;142:863:9;142:865:12;142:873:9,3915;3916;3858;4439;4438;4437;4824;4028;4044;4204;4202;3849;3850;3851;4331;2199;3872;3917;4337;3873;2217;4562;4557;3855;4533;4528;4532;4530;4529;4531;2212;4558;4559;4547;3871;5530;5531;2218;4027;2198;2200;4244;4203;4245;4012;3912;4013;4014
3858,575317.074963654,6137289.71520811,144:883:8;427:86:67;427:2359:67;141:833:8;141:840:13;142:852:13;142:863:10;142:865:13;142:873:10,3857;4002;4439;4438;4437;4044;4029;4202;3849;3850;3851;3847;3180;2196;2197;4331;3872;3917;4337;2220;3873;4562;4557;3854;4494;3855;3856;3833;4528;4532;4530;4529;4547;4546;3058;2198;4203;4245;4012;3912;4013;4011
4002,575663.516606527,6137352.63928329,144:883:9;427:86:68;427:2359:68;141:833:9;141:840:14;142:852:14;142:863:11;142:865:14;142:873:11;G:3402:59;60:1476:7;60:2392:19;62:2792:19,3858;4087;3057;4439;3849;3850;3851;3180;4005;2196;2220;2213;4494;3855;3856;3058;4245;4004;4010;4012;4011
4087,575875.78800799,6137370.31793257,144:883:10;427:86:69;427:2359:69;141:833:10;141:840:15;142:852:15;142:863:12;142:865:15;142:873:12;G:3402:60;60:1476:8;60:2392:20;62:2792:20,4002;4003;3056;3057;4439;2112;3180;4005;2213;2214;3855;3856;3058;4004;4010;4009;4011
4003,576211.933012231,6137398.26019706,144:883:11;427:86:70;427:2359:70;141:833:11;141:840:16;142:852:16;142:863:13;142:865:16;142:873:13;G:3402:61;60:1476:9;60:2392:21;62:2792:21,4087;2969;3054;3055;3056;3057;2110;556;2112;2113;2069;2070;4006
2969,576580.47001,6137417.96116,144:883:12;141:833:12;141:840:17;142:852:17;142:863:14;142:865:17;142:873:14;163:1122:72;G:3402:62;526:3370:69;D11:223:19;60:1476:10;60:2392:22;62:2792:22,4003;2970;3890;3053;3054;3055;3056;556;2112;2113;3864;3865;3861;2069;2070;5762;4077;3974
2970,576804.90455,6137374.40266,144:883:13;141:833:13;141:840:18;142:852:18;142:863:15;142:865:18;142:873:15;163:1122:73;G:3402:63;526:3370:70;60:1476:11;60:2392:23;62:2792:23,2969;3890;3052;3053;3054;3055;2112;3863;3864;3865;3866;3868;3861;3862;2069;2070;4077;3973;3974
3890,577068.52397,6137369.45105,144:883:14;141:833:14;141:840:19;142:852:19;142:863:16;142:865:19;142:873:16;163:1122:74;G:3402:64;526:3370:71;D11:223:20;60:1476:12;60:2392:24;62:2792:24,2969;2970;3891;2971;3889;3052;3053;3054;3863;3864;3865;3866;3867;3860;3868;3861;3862;3060;3980
3891,577378.855924214,6137368.64773651,144:883:15;141:833:15;141:840:20;142:852:20;142:863:17;142:865:20;142:873:17;G:3402:65;526:3370:72;60:1476:13;60:2392:25,3890;2971;4881;4882;3051;3889;3052;3864;3865;3866;3867;3860;3868;3861;3980;3981;3979;4508
2971,577566.93166,6137370.8375,144:883:16;141:833:16;141:840:21;142:852:21;142:863:18;142:865:21;142:873:18;G:3402:66;526:3370:73;60:1476:14;60:2392:26,3890;3891;4881;2972;3050;4882;3051;3889;3052;3433;3434;3865;3866;3868;3980;3981;3979;4508
4881,577807.28005484,6137373.6652461,144:883:17;141:833:17;141:840:22;142:852:22;142:863:19;142:865:22;142:873:19;G:3402:67;526:3370:74;D11:223:21;60:1476:15;60:2392:27,3891;2971;2972;2973;3888;3050;4882;3051;3889;3432;3433;3434;3979;4508
2972,577984.499857742,6137389.51968965,144:883:18;141:833:18;141:840:23;142:852:23;142:863:20;142:865:23;142:873:20;G:3402:68;526:3370:75;D11:223:22;60:1476:16;60:2392:28,2971;4881;2973;3887;3888;3050;4882;3051;3432;3433;3434;3430
2973,578232.61439,6137429.43737,144:883:19;191:1391:41;328:1711:60;329:3368:83;329:3400:81;329:7367:96;141:833:19;141:840:24;142:852:24;142:863:21;142:865:24;142:873:21;G:3402:69;526:3370:76;60:1476:17;60:2392:29,4881;2972;3887;2974;3049;3888;3050;4882;3467;3432;3433;3434;3430
3887,578427.15001,6137476.13904,144:883:20;191:1391:42;328:1711:61;329:3368:84;329:3400:82;329:7367:97;141:833:20;141:840:25;142:852:25;142:863:22;142:865:25;142:873:22;G:3402:70;526:3370:77;60:1476:18;60:2392:30,2972;2973;2974;3048;3049;3888;3050;3466;3467;3435;3934;3433;3434;3419;3420;3438;3429;3430
2974,578675.811640475,6137555.58656911,144:883:21;191:1391:43;328:1711:62;329:3368:85;329:3400:83;329:7367:98;141:833:21;141:840:26;142:852:26;142:863:23;142:865:26;142:873:23;G:3402:71;526:3370:78;D11:223:23;60:1476:19;60:2392:31,2973;3887;2975;3047;3048;3049;3888;3466;3467;3435;3419;3420;3438;3429;6175
2975,578952.565772892,6137666.19314479,144:883:22;141:833:22;141:840:27;142:852:27;142:863:24;142:865:27;142:873:24;G:3402:72;526:3370:79;60:1476:20;60:2392:32,2974;2976;3046;3047;3048;3049;3466;3467;3435;3419;3420;3438;3423;3429;3422;5657;6175
2976,579280.01772,6137746.521,144:883:23;141:833:23;141:840:28;142:852:28;142:863:25;142:865:28;142:873:25;G:3402:73;526:3370:80;D11:223:24;60:1476:21;60:2392:33,2975;2977;2978;3044;3046;3047;3423;3424;3425;3422;5657
2977,579494.19864,6137717.85671,144:883:24;141:833:24;141:840:29;142:852:29;142:863:26;142:865:29;142:873:26;G:3402:74;526:3370:81;60:1476:22;60:2392:34,2976;2978;3043;3044;3046;3423;3424;3426;3427;3425;3422;3390
2978,579633.50556,6137756.38837,144:883:25;427:86:88;427:2359:88;141:833:25;141:840:30;142:852:30;142:863:27;142:865:30;142:873:27;G:3402:75;526:3370:82;D11:223:25;60:1476:23;60:2392:35,2976;2977;2979;3042;3043;3044;3046;3077;3080;3081;3424;3426;3427;3425;3422
2979,579951.07343,6137959.4681,144:883:26;427:86:89;427:2359:89;141:833:26;141:840:31;142:852:31;142:863:28;142:865:31;142:873:28;G:3402:76;526:3370:83;60:1476:24;60:2392:36,2978;3078;3017;3019;3039;3041;3042;3043;3044;3079;3076;3077;3080;3081;3082;2980;3015;4856
3078,580178.00826,6137975.5946,144:883:27;141:833:27;141:840:32,2979;3017;3019;3039;3041;3042;3043;3079;3077;3080;3081;2980;2981;3014;3015;3244;3246;3245;3353;3352;4856;4598
3017,580271.75408885,6138134.39557953,144:883:28;141:833:28;141:840:33;195:1428:2;538:205:2;538:2091:2,2979;3078;3019;3039;3041;3042;3043;3079;3080;3081;2980;2981;3014;3015;3244;3246;3245;3353;3352;4856;4598
3019,580085.358784679,6138384.28589992,144:883:29;141:833:29;141:840:34;195:1428:3;2:7589:25;2:7591:25;538:205:3;538:2091:3,2979;3078;3017;3020;3021;3038;3039;3041;3042;3076;3077;3080;3081;3082;2980;2981;3014;3015;3244;3245
3020,579971.35899,6138537.51767,144:883:30;141:833:30;141:840:35;195:1428:4;2:7589:26;2:7591:26;538:205:4;538:2091:4,3019;3021;4860;3038;3039;3041;3076;3077;3081;3082;2980;3015;3137;3083
3021,579811.34788,6138771.98067,144:883:31;141:833:31;141:840:36;195:1428:5;2:7589:27;2:7591:27;538:205:5;538:2091:5,3019;3020;3022;3023;3037;4860;3038;3039;3076;3084;2181;2182;3082;2132;2133;3137;3083
3022,579677.79801,6138974.24687,144:883:32;141:833:32;141:840:37;195:1428:6;2:7589:28;2:7591:28;538:205:6;538:2091:6,3021;3023;3024;3035;3036;3037;4860;3038;3084;3085;2130;3766;2181;2182;2183;2184;2882;2883;2884;2885;3136;2131;2132;2133
3023,579543.62964,6139115.96651,144:883:33;405:24:35;141:833:33;141:840:38;370:1737:70;195:1428:7;151:3364:66;2:7589:29;2:7591:29;538:205:7;538:2091:7,3021;3022;3024;3025;3035;3036;3037;4860;3085;2130;3766;2182;2183;2184;2185;2882;2883;2884;2885;3135;2131;2132;2133
3024,579360.92316,6139301.77407,144:883:34;405:24:36;141:833:34;141:840:39;2:7589:30;2:7591:30;538:205:8;538:2091:8,3022;3023;3025;3026;3033;3034;3035;3036;3037;3086;2129;2130;3766;2182;2183;2184;2185;2882;2883;2884;2885;4564;2131;2132
3025,579201.31512,6139458.52288,144:883:35;405:24:37;141:833:35;141:840:40;2:7589:31;2:7591:31;538:205:9;538:2091:9,3023;3024;3026;3027;3032;3033;3034;3035;3036;3087;2129;2130;3766;2183;2184;2185;2186;2882;2883;2884;2885;4564;2131
